STANDINGRO,Standing Rock Reservation,45.871409,-101.181204
STCROIXRES,St. Croix Reservation,45.522742,-92.275035
STEWARTCOM,Stewart Community,39.061769,-119.810092
STEWARTSPO,Stewarts Point Rancheria,38.656603,-123.339020
STILLAGUAM,Stillaguamish Reservation,48.214492,-122.184954
STOCKBRIDG,Stockbridge Munsee Community,44.910558,-88.888207
STREGISMOH,St. Regis Mohawk Reservation,44.978707,-74.643075
SULPHURBAN,Sulphur Bank Rancheria,39.008585,-122.670785
SUMMITLAKE,Summit Lake Reservation,41.525736,-119.047384
SUSANVILLE,Susanville Indian Rancheria,40.444271,-120.644497
SWINOMISHR,Swinomish Reservation,48.415402,-122.536395
SYCUANRESE,Sycuan Reservation,32.779485,-116.832604
TABLEBLUFF,Table Bluff Reservation,40.690650,-124.252180
TABLEMOUNT,Table Mountain Rancheria,36.985049,-119.639681
TAMPARESER,Tampa Reservation,27.993493,-82.370997
TAOSPUEB,Taos Pueblo,36.472695,-105.525024
TESUQUEPUE,Tesuque Pueblo,35.802926,-105.976181
TIMBISHASH,Timbi-Sha Shoshone Reservation,37.445637,-117.524741
TOHONOOODH,Tohono O'odham Nation Reservation,32.150036,-112.070402
TONAWANDAR,Tonawanda Reservation,43.074127,-78.452884
TONTOAPACH,Tonto Apache Reservation,34.220943,-111.328373
TORRESMART,Torres-Martinez Reservation,33.346252,-116.020184
TRINIDADRA,Trinidad Rancheria,41.054223,-124.130493
TULALIPRES,Tulalip Reservation,48.077043,-122.260958
TULERIVERR,Tule River Reservation,36.045344,-118.730204
TUNICABILO,Tunica-Biloxi Reservation,31.113218,-92.053605
TUOLUMNERA,Tuolumne Rancheria,37.980796,-120.237738
TURTLEMOUN,Turtle Mountain Reservation,48.856479,-99.788471
TUSCARORAN,Tuscarora Nation Reservation,43.162883,-78.950865
TWENTYNINE,Twenty-Nine Palms Reservation,33.710560,-116.187685
UINTAHANDO,Uintah and Ouray Reservation,40.409936,-110.747541
UMATILLARE,Umatilla Reservation,45.627173,-118.544130
UPPERLAKER,Upper Lake Rancheria,39.185265,-122.919206
UPPERSIOUX,Upper Sioux Community,44.760252,-95.499622
UPPERSKAGI,Upper Skagit Reservation,48.539850,-122.192205
UTEMOUNTAI,Ute Mountain Reservation,37.097125,-108.650152
VIEJASRESE,Viejas Reservation,32.850146,-116.692557
WALKERRIVE,Walker River Reservation,38.975737,-118.730578
WARMSPRING,Warm Springs Reservation,44.868682,-121.443231
WELLSCOLON,Wells Colony,41.117016,-114.979017
WHITEEARTH,White Earth Reservation,47.211960,-95.727525
WINDRIVERR,Wind River Reservation,43.272382,-108.844496
WINNEBAGOR,Winnebago Reservation,42.225636,-96.596049
WINNEMUCCA,Winnemucca Indian Colony,40.953100,-117.721553
WOODFORDSC,Woodfords Community,38.800485,-119.794153
XLRANCHRAN,XL Ranch Rancheria,41.551074,-120.452998
YAKAMANATI,Yakama Nation Reservation,46.268306,-120.754434
YANKTONRES,Yankton Reservation,43.103416,-98.374242
YAVAPAIAPA,Yavapai-Apache Nation Reservation,34.628830,-111.914089
YAVAPAIPRE,Yavapai-Prescott Reservation,34.550636,-112.435121
YERINGTONC,Yerington Colony,38.980845,-119.170909
YOMBARESER,Yomba Reservation,38.908159,-117.490804
YSLETADELS,Ysleta del Sur Pueblo,31.926018,-106.037909
YUROKRESER,Yurok Reservation,41.380893,-123.904983
ZIAPUEBLO,Zia Pueblo,35.561562,-106.744243
ZUNIRESERV,Zuni Reservation,35.039128,-108.747073
